,Год,Цена,Район,Ковид,Санкции,Ключевая ставка ЦБ РФ (%),ИПЦ (% к декабрю предыдущего года),Доллар
187,2001,21337.29779476833,28,0,0,25.0,118.6,30.14
188,2001,19782.63908303047,72,0,0,25.0,118.6,30.14
189,2001,19083.969465648854,66,0,0,25.0,118.6,30.14
190,2001,13865.282808581773,27,0,0,25.0,118.6,30.14
191,2001,20460.35805626598,84,0,0,25.0,118.6,30.14
192,2001,25799.319727891154,83,0,0,25.0,118.6,30.14
193,2001,15731.380235197028,32,0,0,25.0,118.6,30.14
194,2001,22511.300507228876,111,0,0,25.0,118.6,30.14
195,2001,60157.79092702169,1,0,0,25.0,118.6,30.14
196,2001,18247.411900031366,121,0,0,25.0,118.6,30.14
197,2001,18898.809523809523,110,0,0,25.0,118.6,30.14
198,2001,26833.16393204588,85,0,0,25.0,118.6,30.14
199,2001,23913.331566392793,108,0,0,25.0,118.6,30.14
200,2001,20025.510204081635,86,0,0,25.0,118.6,30.14
201,2001,12279.866730128508,46,0,0,25.0,118.6,30.14
202,2001,28768.459180830323,109,0,0,25.0,118.6,30.14
203,2001,19487.577639751555,48,0,0,25.0,118.6,30.14
204,2001,16763.34917528655,6,0,0,25.0,118.6,30.14
205,2001,14573.643410852714,49,0,0,25.0,118.6,30.14
206,2001,17124.586321014893,10,0,0,25.0,118.6,30.14
207,2001,17529.646993932707,60,0,0,25.0,118.6,30.14
208,2001,17170.111287758344,122,0,0,25.0,118.6,30.14
209,2001,17002.2693706999,41,0,0,25.0,118.6,30.14
210,2001,22382.719321494835,61,0,0,25.0,118.6,30.14
211,2001,25017.110334642115,43,0,0,25.0,118.6,30.14
212,2001,17206.15964802011,126,0,0,25.0,118.6,30.14
213,2001,20762.623088204487,124,0,0,25.0,118.6,30.14
214,2001,16273.69232386224,99,0,0,25.0,118.6,30.14
215,2001,20086.800954147897,15,0,0,25.0,118.6,30.14
216,2001,19143.380358111765,101,0,0,25.0,118.6,30.14
217,2001,22222.22222222223,55,0,0,25.0,118.6,30.14
218,2001,14895.512999720435,69,0,0,25.0,118.6,30.14
219,2001,17689.312567132118,14,0,0,25.0,118.6,30.14
220,2001,23005.333054480812,31,0,0,25.0,118.6,30.14
221,2001,16495.449531163813,64,0,0,25.0,118.6,30.14
222,2001,16283.414774360446,42,0,0,25.0,118.6,30.14
223,2001,20815.389032443298,96,0,0,25.0,118.6,30.14
224,2001,14188.034188034193,120,0,0,25.0,118.6,30.14
225,2001,19172.893316728932,70,0,0,25.0,118.6,30.14
226,2001,16661.438181881556,71,0,0,25.0,118.6,30.14
227,2001,28076.882234257195,44,0,0,25.0,118.6,30.14
228,2001,30950.07705264667,23,0,0,25.0,118.6,30.14
229,2001,21170.78715544188,107,0,0,25.0,118.6,30.14
230,2001,18250.42517006803,20,0,0,25.0,118.6,30.14
231,2001,34896.861597113486,51,0,0,25.0,118.6,30.14
232,2001,19282.541391842777,82,0,0,25.0,118.6,30.14
233,2001,22897.1028971029,88,0,0,25.0,118.6,30.14
234,2001,15363.247863247865,45,0,0,25.0,118.6,30.14
235,2001,24460.218870156757,5,0,0,25.0,118.6,30.14
236,2001,19101.20212468549,24,0,0,25.0,118.6,30.14
237,2001,16806.1943087094,16,0,0,25.0,118.6,30.14
238,2001,27975.041367898506,59,0,0,25.0,118.6,30.14
239,2001,18506.292552094077,33,0,0,25.0,118.6,30.14
240,2001,16538.541092112522,35,0,0,25.0,118.6,30.14
241,2001,20929.292929292926,112,0,0,25.0,118.6,30.14
242,2001,17253.861003861006,38,0,0,25.0,118.6,30.14
243,2001,14840.182648401822,89,0,0,25.0,118.6,30.14
244,2001,19137.742053343078,90,0,0,25.0,118.6,30.14
245,2001,54951.24593716144,47,0,0,25.0,118.6,30.14
246,2001,35516.483516483524,4,0,0,25.0,118.6,30.14
247,2001,16195.426195426202,97,0,0,25.0,118.6,30.14
248,2001,22513.99491094147,7,0,0,25.0,118.6,30.14
249,2001,17080.054738282586,113,0,0,25.0,118.6,30.14
250,2001,18430.353430353432,81,0,0,25.0,118.6,30.14
251,2001,23133.91109868605,2,0,0,25.0,118.6,30.14
252,2001,24518.14058956916,98,0,0,25.0,118.6,30.14
253,2001,16668.996365669558,25,0,0,25.0,118.6,30.14
254,2002,22247.772348375973,19,0,0,23.0,115.1,31.7844
255,2002,24320.876999448432,25,0,0,23.0,115.1,31.7844
256,2002,23204.032363304188,52,0,0,23.0,115.1,31.7844
257,2002,23020.149953139644,63,0,0,23.0,115.1,31.7844
258,2002,21538.46153846153,80,0,0,23.0,115.1,31.7844
259,2002,28963.393773520354,105,0,0,23.0,115.1,31.7844
